perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.05914857155029041,-0.6410794684289782,-0.0193176354184299
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.05945378065808532,-0.6410794684289782,-0.0193176354184299
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.057791483600599935,-0.6410794684289782,-0.0193176354184299
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.0584720086127169,-0.6410794684289782,-0.0193176354184299
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.055974071653843105,-0.6410794684289782,-0.0193176354184299
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.05847789186543828,-0.6410794684289782,-0.0193176354184299
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.06142471500085683,-0.6410794684289782,-0.0193176354184299
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.05968036195836357,-0.6410794684289782,-0.0193176354184299
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.06160779694022439,-0.6410794684289782,-0.0193176354184299
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.054697797936910875,-0.6410794684289782,-0.0193176354184299
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.058937028364130783,-0.6410794684289782,-0.0193176354184299
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.06152826923293381,-0.6410794684289782,-0.0193176354184299
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.053682841210417664,-0.5853351792691289,-0.0105895500970689
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.054964080961715456,-0.5853351792691289,-0.0105895500970689
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.051184605837062136,-0.5853351792691289,-0.0105895500970689
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05161149800791426,-0.5853351792691289,-0.0105895500970689
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.052916128946593755,-0.5853351792691289,-0.0105895500970689
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05547356886386717,-0.5853351792691289,-0.0105895500970689
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05370929430459126,-0.5853351792691289,-0.0105895500970689
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05415758808072446,-0.5853351792691289,-0.0105895500970689
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05382437341298807,-0.5853351792691289,-0.0105895500970689
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05434312099384314,-0.5853351792691289,-0.0105895500970689
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.051290050631827344,-0.5853351792691289,-0.0105895500970689
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.051847324392020555,-0.5853351792691289,-0.0105895500970689
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05349552838536842,-0.5853351792691289,-0.0105895500970689
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.054282314195942094,-0.5853351792691289,-0.0105895500970689
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05512218386223949,-0.5853351792691289,-0.0105895500970689
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05331126794271557,-0.5853351792691289,-0.0105895500970689
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.054256880579974354,-0.5853351792691289,-0.0105895500970689
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05432298102432709,-0.5853351792691289,-0.0105895500970689
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.0525189273731404,-0.5853351792691289,-0.0105895500970689
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05281818492538881,-0.5853351792691289,-0.0105895500970689
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05325995049285953,-0.5853351792691289,-0.0105895500970689
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.05420878185891648,-0.5853351792691289,-0.0105895500970689
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.053079890145329545,-0.5853351792691289,-0.0105895500970689
